TradeDate,OpeningBalance,EndingBalance,ProfitLoss
6/1/2022,200000,197288.20,-2711.80
6/2/2022,197288.20,198583.30,1295.10
6/3/2022,198583.30,200238.90,1655.60
6/6/2022,200238.90,197882.80,-2356.10
6/7/2022,197882.80,196122.20,-1760.60
6/8/2022,196122.20,197785.80,1663.60
6/9/2022,197785.80,196681.60,-1104.20
6/10/2022,196681.60,198367.20,1685.60
6/13/2022,198367.20,198532.90,165.70
6/14/2022,198532.90,198352.90,-180.00
6/16/2022,198352.90,199407.30,1054.40
6/17/2022,199407.30,202731.30,3324.00
6/21/2022,202731.30,207991.60,5260.30
6/22/2022,207991.60,207441.40,-550.20
6/23/2022,207441.40,206644.20,-797.20
6/24/2022,206644.20,209639.40,2995.20
6/27/2022,209639.40,211432.70,1793.30
6/28/2022,211432.70,213981.70,2549.00
6/29/2022,213981.70,215671.30,1689.60
6/30/2022,215671.30,212314.30,-3357.00
7/1/2022,212314.30,211525.10,-789.20
7/5/2022,211525.10,212072.00,546.90
7/6/2022,212072.00,214874.00,2802.00
7/7/2022,214874.00,218913.40,4039.40
7/8/2022,218913.40,219002.00,88.60
7/11/2022,219002.00,221880.70,2878.70
7/12/2022,221880.70,219340.90,-2539.80
7/13/2022,219340.90,216768.10,-2572.80
7/14/2022,216768.10,215410.50,-1357.60
7/15/2022,215410.50,220356.80,4946.30
7/18/2022,220356.80,220593.70,236.90
7/19/2022,220593.70,225787.50,5193.80
7/20/2022,225787.50,224257.90,-1529.60
7/21/2022,224257.90,225354.30,1096.40
7/22/2022,225354.30,225625.50,271.20
7/25/2022,225625.50,226478.40,852.90
7/26/2022,226478.40,230449.00,3970.60
7/28/2022,230449.00,232251.60,1802.60
7/29/2022,232251.60,233454.70,1203.10
8/1/2022,233454.70,232132.00,-1322.70
8/2/2022,232132.00,230843.60,-1288.40
8/3/2022,230843.60,234141.80,3298.20
8/4/2022,234141.80,237955.70,3813.90
8/5/2022,237955.70,235475.40,-2480.30
8/8/2022,235475.40,236862.70,1387.30
8/9/2022,236862.70,239723.70,2861.00
8/10/2022,239723.70,243856.40,4132.70
8/11/2022,243856.40,242904.90,-951.50
8/12/2022,242904.90,247358.70,4453.80
8/15/2022,247358.70,249128.70,1770.00
8/16/2022,249128.70,243429.20,-5699.50
8/17/2022,243429.20,242903.20,-526.00
8/18/2022,242903.20,244720.30,1817.10
8/19/2022,244720.30,248472.70,3752.40
8/22/2022,248472.70,251337.40,2864.70
8/23/2022,251337.40,254109.90,2772.50
8/24/2022,254109.90,253653.90,-456.00
8/25/2022,253653.90,252034.50,-1619.40
8/26/2022,252034.50,253345.10,1310.60
8/29/2022,253345.10,253021.10,-324.00
8/30/2022,253021.10,251941.70,-1079.40
8/31/2022,251941.70,250458.30,-1483.40
9/1/2022,250458.30,248919.90,-1538.40
9/2/2022,248919.90,246952.30,-1967.60
9/6/2022,246952.30,247714.20,761.90
9/7/2022,247714.20,251054.20,3340.00
9/8/2022,251054.20,250414.80,-639.40
9/9/2022,250414.80,255737.30,5322.50
9/12/2022,255737.30,258892.00,3154.70
9/13/2022,258892.00,261062.80,2170.80
9/14/2022,261062.80,260661.60,-401.20
9/15/2022,260661.60,259250.20,-1411.40
9/16/2022,259250.20,262558.40,3308.20
9/19/2022,262558.40,263039.80,481.40
9/20/2022,263039.80,263498.00,458.20
9/22/2022,263498.00,265983.80,2485.80
9/23/2022,265983.80,270539.40,4555.60
9/26/2022,270539.40,270760.10,220.70
9/27/2022,270760.10,271466.50,706.40
9/28/2022,271466.50,273767.30,2300.80
9/29/2022,273767.30,275914.10,2146.80
9/30/2022,275914.10,277830.90,1916.80
10/3/2022,277830.90,279447.00,1616.10
10/4/2022,279447.00,279558.80,111.80
10/5/2022,279558.80,279960.00,401.20
10/6/2022,279960.00,281098.60,1138.60
10/7/2022,281098.60,284254.80,3156.20
10/10/2022,284254.80,283451.10,-803.70
10/11/2022,283451.10,280686.30,-2764.80
10/12/2022,280686.30,285214.90,4528.60
10/13/2022,285214.90,286957.50,1742.60
10/14/2022,286957.50,288568.10,1610.60
10/17/2022,288568.10,292916.20,4348.10
10/18/2022,292916.20,291574.80,-1341.40
10/19/2022,291574.80,293554.60,1979.80
10/20/2022,293554.60,292597.40,-957.20
10/21/2022,292597.40,293614.80,1017.40
10/24/2022,293614.80,294371.70,756.90
10/25/2022,294371.70,297130.20,2758.50
10/26/2022,297130.20,296826.20,-304.00
10/27/2022,296826.20,295033.60,-1792.60
10/28/2022,295033.60,299043.00,4009.40
10/31/2022,299043.00,301037.30,1994.30
11/1/2022,301037.30,301803.90,766.60
11/3/2022,301803.90,301688.90,-115.00
11/4/2022,301688.90,298920.10,-2768.80
11/7/2022,298920.10,301333.10,2413.00
11/8/2022,301333.10,295695.30,-5637.80
11/9/2022,295695.30,296025.50,330.20
11/10/2022,296025.50,298176.30,2150.80
11/11/2022,298176.30,298441.00,264.70
11/14/2022,298441.00,297328.50,-1112.50
11/15/2022,297328.50,295129.90,-2198.60
11/16/2022,295129.90,299338.50,4208.60
11/17/2022,299338.50,298352.30,-986.20
11/18/2022,298352.30,298171.10,-181.20
11/21/2022,298171.10,299264.20,1093.10
11/22/2022,299264.20,302560.20,3296.00
11/23/2022,302560.20,301260.80,-1299.40
11/28/2022,301260.80,298824.30,-2436.50
11/29/2022,298824.30,297740.90,-1083.40
11/30/2022,297740.90,298949.30,1208.40
12/1/2022,298949.30,298353.10,-596.20
12/2/2022,298353.10,296323.50,-2029.60
12/5/2022,296323.50,298886.00,2562.50
12/6/2022,298886.00,300891.80,2005.80
12/7/2022,300891.80,303054.60,2162.80
12/8/2022,303054.60,303578.80,524.20
12/9/2022,303578.80,304374.20,795.40
12/12/2022,304374.20,306154.00,1779.80
12/13/2022,306154.00,305963.00,-191.00
12/15/2022,305963.00,306884.40,921.40
12/16/2022,306884.40,307705.60,821.20
12/19/2022,307705.60,309609.70,1904.10
12/20/2022,309609.70,308541.00,-1068.70
12/21/2022,308541.00,310935.80,2394.80
12/22/2022,310935.80,311326.00,390.20
12/23/2022,311326.00,312738.60,1412.60
12/27/2022,312738.60,314267.70,1529.10
12/28/2022,314267.70,314210.70,-57.00
12/29/2022,314210.70,317573.60,3362.90
12/30/2022,317573.60,314710.60,-2863.00
1/3/2023,314710.60,314342.60,-368.00
1/4/2023,314342.60,311389.60,-2953.00
1/5/2023,311389.60,312259.00,869.40
1/6/2023,312259.00,313924.60,1665.60
1/9/2023,313924.60,315315.00,1390.40
1/10/2023,315315.00,317709.50,2394.50
1/11/2023,317709.50,318661.40,951.90
1/12/2023,318661.40,317256.50,-1404.90
1/13/2023,317256.50,318046.10,789.60
1/17/2023,318046.10,320256.60,2210.50
1/18/2023,320256.60,319386.40,-870.20
1/19/2023,319386.40,320328.80,942.40
1/20/2023,320328.80,322562.60,2233.80
1/23/2023,322562.60,321324.20,-1238.40
1/24/2023,321324.20,324185.40,2861.20
1/25/2023,324185.40,325238.50,1053.10
1/26/2023,325238.50,326251.60,1013.10
1/27/2023,326251.60,325857.40,-394.20
1/30/2023,325857.40,328499.40,2642.00
1/31/2023,328499.40,331706.60,3207.20
2/2/2023,331706.60,328070.40,-3636.20
2/3/2023,328070.40,326948.20,-1122.20
2/6/2023,326948.20,328892.00,1943.80
2/7/2023,328892.00,327375.60,-1516.40
2/8/2023,327375.60,330017.60,2642.00
2/9/2023,330017.60,330761.00,743.40
2/10/2023,330761.00,334052.00,3291.00
2/13/2023,334052.00,337903.90,3851.90
2/14/2023,337903.90,336661.50,-1242.40
2/15/2023,336661.50,336767.20,105.70
2/16/2023,336767.20,335378.80,-1388.40
2/17/2023,335378.80,338038.80,2660.00
2/21/2023,338038.80,342379.40,4340.60
2/22/2023,342379.40,344178.70,1799.30
2/23/2023,344178.70,343017.30,-1161.40
2/24/2023,343017.30,344141.70,1124.40
2/27/2023,344141.70,344296.60,154.90
2/28/2023,344296.60,345535.80,1239.20
3/1/2023,345535.80,346904.40,1368.60
3/2/2023,346904.40,348392.00,1487.60
3/3/2023,348392.00,353231.60,4839.60
3/6/2023,353231.60,354616.50,1384.90
3/7/2023,354616.50,357244.50,2628.00
