"Date","Net Liquidity","Current Funds","Withdrawn","Trading Funds","P/L","P/L %","Drawdown %"
"2016-01-04",500000,500000,0,500000,0,0,0
"2016-01-05",500000,500000,0,500000,0,0,0
"2016-01-06",500000,500000,0,500000,0,0,0
"2016-01-07",500205,500000,0,500000,205,0.04,0
"2016-01-08",502101,502101,0,502101,1896,0.38,0
"2016-01-11",502101,502101,0,502101,0,0,0
"2016-01-12",502101,502101,0,502101,0,0,0
"2016-01-13",502101,502101,0,502101,0,0,0
"2016-01-14",502101,502101,0,502101,0,0,0
"2016-01-15",502101,502101,0,502101,0,0,0
"2016-01-19",502101,502101,0,502101,0,0,0
"2016-01-20",502101,502101,0,502101,0,0,0
"2016-01-21",501456,502101,0,502101,-645,-0.13,-0.13
"2016-01-22",504471,504471,0,504471,3015,0.6,0
"2016-01-25",504471,504471,0,504471,0,0,0
"2016-01-26",504471,504471,0,504471,0,0,0
"2016-01-27",504471,504471,0,504471,0,0,0
"2016-01-28",504691,504471,0,504471,220,0.04,0
"2016-01-29",506646,506646,0,506646,1955,0.39,0
"2016-02-01",506646,506646,0,506646,0,0,0
"2016-02-02",506646,506646,0,506646,0,0,0
"2016-02-03",506646,506646,0,506646,0,0,0
"2016-02-04",506576,506646,0,506646,-70,-0.01,-0.01
"2016-02-05",502626,502626,0,502626,-3950,-0.78,-0.79
"2016-02-08",502626,502626,0,502626,0,0,-0.79
"2016-02-09",502626,502626,0,502626,0,0,-0.79
"2016-02-10",502626,502626,0,502626,0,0,-0.79
"2016-02-11",501626,502626,0,502626,-1000,-0.2,-0.99
"2016-02-12",504986,504986,0,504986,3360,0.67,-0.33
"2016-02-16",504986,504986,0,504986,0,0,-0.33
"2016-02-17",504986,504986,0,504986,0,0,-0.33
"2016-02-18",504986,504986,0,504986,0,0,-0.33
"2016-02-19",504986,504986,0,504986,0,0,-0.33
"2016-02-22",504986,504986,0,504986,0,0,-0.33
"2016-02-23",504986,504986,0,504986,0,0,-0.33
"2016-02-24",504986,504986,0,504986,0,0,-0.33
"2016-02-25",505296,504986,0,504986,310,0.06,-0.27
"2016-02-26",506101,506101,0,506101,805,0.16,-0.11
"2016-02-29",506101,506101,0,506101,0,0,-0.11
"2016-03-01",506361,506101,0,506101,260,0.05,-0.06
"2016-03-02",507591,507591,0,507591,1230,0.24,0
"2016-03-03",507671,507591,0,507591,80,0.02,0
"2016-03-04",509171,509171,0,509171,1500,0.3,0
"2016-03-07",509171,509171,0,509171,0,0,0
"2016-03-08",508826,509171,0,509171,-345,-0.07,-0.07
"2016-03-09",510326,510326,0,510326,1500,0.29,0
"2016-03-10",510466,510326,0,510326,140,0.03,0
"2016-03-11",511771,511771,0,511771,1305,0.26,0
"2016-03-14",511771,511771,0,511771,0,0,0
"2016-03-15",511986,511771,0,511771,215,0.04,0
