"Date","Net Liquidity","Current Funds","Withdrawn","Trading Funds","P/L","P/L %","Drawdown %"
"2020-01-02",2000531,2000000,0,2000000,531,0.03,0
"2020-01-03",1993467,1993467,0,1993467,-7064,-0.35,-0.35
"2020-01-06",1993467,1993467,0,1993467,0,0,-0.35
"2020-01-07",1992818,1993467,0,1993467,-649,-0.03,-0.39
"2020-01-08",1995348,1995348,0,1995348,2530,0.13,-0.26
"2020-01-09",1995504,1995348,0,1995348,156,0.01,-0.25
"2020-01-10",1997304,1997304,0,1997304,1800,0.09,-0.16
"2020-01-13",1997304,1997304,0,1997304,0,0,-0.16
"2020-01-14",1997035,1997304,0,1997304,-269,-0.01,-0.17
"2020-01-15",1999105,1999105,0,1999105,2070,0.1,-0.07
"2020-01-16",1999286,1999105,0,1999105,181,0.01,-0.06
"2020-01-17",2000741,2000741,0,2000741,1455,0.07,0
"2020-01-21",2000562,2000741,0,2000741,-179,-0.01,-0.01
"2020-01-22",2002477,2002477,0,2002477,1915,0.1,0
"2020-01-23",2002628,2002477,0,2002477,151,0.01,0
"2020-01-24",1997784,1997784,0,1997784,-4844,-0.24,-0.24
"2020-01-27",1997784,1997784,0,1997784,0,0,-0.24
"2020-01-28",1997195,1997784,0,1997784,-589,-0.03,-0.27
"2020-01-29",2001020,2001020,0,2001020,3825,0.19,-0.08
"2020-01-30",2001971,2001020,0,2001020,951,0.05,-0.03
"2020-01-31",1994907,1994907,0,1994907,-7064,-0.35,-0.39
"2020-02-03",1994907,1994907,0,1994907,0,0,-0.39
"2020-02-04",1994258,1994907,0,1994907,-649,-0.03,-0.42
"2020-02-05",1997928,1997928,0,1997928,3670,0.18,-0.23
"2020-02-06",1998239,1997928,0,1997928,311,0.02,-0.22
"2020-02-07",1997658,1997658,0,1997658,-581,-0.03,-0.25
"2020-02-10",1997658,1997658,0,1997658,0,0,-0.25
"2020-02-11",1996869,1997658,0,1997658,-789,-0.04,-0.29
"2020-02-12",1999979,1999979,0,1999979,3110,0.16,-0.13
"2020-02-13",2000155,1999979,0,1999979,176,0.01,-0.12
"2020-02-14",2002530,2002530,0,2002530,2375,0.12,0
"2020-02-18",2002216,2002530,0,2002530,-314,-0.02,-0.02
"2020-02-19",2004706,2004706,0,2004706,2490,0.12,0
"2020-02-20",2005192,2004706,0,2004706,486,0.02,0
"2020-02-21",1997463,1997463,0,1997463,-7729,-0.39,-0.39
"2020-02-24",1997463,1997463,0,1997463,0,0,-0.39
"2020-02-25",1997614,1997463,0,1997463,151,0.01,-0.38
"2020-02-26",2002959,2002959,0,2002959,5345,0.27,-0.11
