"Date","Net Liquidity","Current Funds","Withdrawn","Trading Funds","P/L","P/L %","Drawdown %"
"2020-01-02",2001560,2000000,0,2000000,1560,0.08,0
"2020-01-03",1980923.4,1980970,0,1980970,-20636.6,-1.03,-1.03
"2020-01-06",1980216.8,1980970,0,1980970,-706.6,-0.04,-1.07
"2020-01-07",1977221.8,1980970,0,1980970,-2995,-0.15,-1.22
"2020-01-08",1985655.2,1986480,0,1986480,8433.4,0.43,-0.79
"2020-01-09",1987340.2,1986480,0,1986480,1685,0.08,-0.71
"2020-01-10",1989753.6,1991213.4,0,1991213.4,2413.4,0.12,-0.59
"2020-01-13",1992561.6,1992429.8,0,1992429.8,2808,0.14,-0.45
"2020-01-14",1990800,1992429.8,0,1992429.8,-1761.6,-0.09,-0.54
"2020-01-15",1996897.4,1997257.2,0,1997257.2,6097.4,0.31,-0.23
"2020-01-16",2002527.4,1997257.2,0,1997257.2,5630,0.28,0
"2020-01-17",2009407.8,2005557.6,0,2005557.6,6880.4,0.34,0
"2020-01-21",2007011.8,2006635,0,2006635,-2396,-0.12,-0.12
"2020-01-22",2012050.2,2012943.4,0,2012943.4,5038.4,0.25,0
"2020-01-23",2011955.2,2012943.4,0,2012943.4,-95,0,0
"2020-01-24",1999971.6,1999624.8,0,1999624.8,-11983.6,-0.6,-0.6
"2020-01-27",2004135,1999624.8,0,1999624.8,4163.4,0.21,-0.39
"2020-01-28",1997460,1999624.8,0,1999624.8,-6675,-0.33,-0.73
"2020-01-29",2007183.4,2010408.2,0,2010408.2,9723.4,0.49,-0.24
"2020-01-30",2008313.4,2010408.2,0,2010408.2,1130,0.06,-0.19
"2020-01-31",1991989.8,1993729.6,0,1993729.6,-16323.6,-0.81,-1
"2020-02-03",1985215.2,1988060,0,1988060,-6774.6,-0.34,-1.33
"2020-02-04",1984725.2,1988060,0,1988060,-490,-0.02,-1.36
"2020-02-05",2003282.6,1997012.4,0,1997012.4,18557.4,0.94,-0.44
"2020-02-06",2006307.6,1997012.4,0,1997012.4,3025,0.15,-0.29
"2020-02-07",1999417,1998211.8,0,1998211.8,-6890.6,-0.34,-0.63
"2020-02-10",2001106,2002529.2,0,2002529.2,1689,0.08,-0.54
"2020-02-11",1998524.4,2002529.2,0,2002529.2,-2581.6,-0.13,-0.67
"2020-02-12",2010367.8,2009912.6,0,2009912.6,11843.4,0.59,-0.08
"2020-02-13",2010172.8,2009912.6,0,2009912.6,-195,-0.01,-0.09
"2020-02-14",2016352.2,2017897,0,2017897,6179.4,0.31,0
"2020-02-18",2011916.2,2015294.4,0,2015294.4,-4436,-0.22,-0.22
"2020-02-19",2018439.6,2019597.8,0,2019597.8,6523.4,0.32,0
"2020-02-20",2019269.6,2019597.8,0,2019597.8,830,0.04,0
"2020-02-21",2000828,1999331.2,0,1999331.2,-18441.6,-0.91,-0.91
"2020-02-24",2016606.4,1999331.2,0,1999331.2,15778.4,0.79,-0.13
"2020-02-25",2039331.4,1999331.2,0,1999331.2,22725,1.13,0
"2020-02-26",2057290.8,2038900.6,0,2038900.6,17959.4,0.88,0
"2020-02-27",2077555.8,2038900.6,0,2038900.6,20265,0.99,0
"2020-02-28",2039118.8,2009237,0,2009237,-38437,-1.85,-1.85
"2020-03-02",2011625.8,2014212.4,0,2014212.4,-27493,-1.35,-3.17
"2020-03-03",2008130.8,2014212.4,0,2014212.4,-3495,-0.17,-3.34
"2020-03-04",2029057.8,2029057.8,0,2029057.8,20927,1.04,-2.33
"2020-03-05",2033517.8,2029057.8,0,2029057.8,4460,0.22,-2.12
"2020-03-06",1987827.8,1987827.8,0,1987827.8,-45690,-2.25,-4.32
"2020-03-09",1987827.8,1987827.8,0,1987827.8,0,0,-4.32
"2020-03-10",1997287.8,1987827.8,0,1987827.8,9460,0.48,-3.86
"2020-03-11",1961797.8,1961797.8,0,1961797.8,-35490,-1.78,-5.57
"2020-03-12",1959227.8,1961797.8,0,1961797.8,-2570,-0.13,-5.7
"2020-03-13",1974627.8,1974627.8,0,1974627.8,15400,0.79,-4.95
"2020-03-16",1974627.8,1974627.8,0,1974627.8,0,0,-4.95
"2020-03-17",1969787.8,1974627.8,0,1974627.8,-4840,-0.25,-5.19
"2020-03-18",1932147.8,1932147.8,0,1932147.8,-37640,-1.91,-7
"2020-03-19",1919157.8,1932147.8,0,1932147.8,-12990,-0.67,-7.62
"2020-03-20",1904867.8,1904867.8,0,1904867.8,-14290,-0.74,-8.31
"2020-03-23",1904867.8,1904867.8,0,1904867.8,0,0,-8.31
"2020-03-24",1910927.8,1904867.8,0,1904867.8,6060,0.32,-8.02
"2020-03-25",1935877.8,1935877.8,0,1935877.8,24950,1.31,-6.82
"2020-03-26",1945387.8,1935877.8,0,1935877.8,9510,0.49,-6.36
"2020-03-27",1963937.8,1963937.8,0,1963937.8,18550,0.95,-5.47
"2020-03-30",1965747.8,1963937.8,0,1963937.8,1810,0.09,-5.38
"2020-03-31",1983207.8,1986147.8,0,1986147.8,17460,0.89,-4.54
"2020-04-01",1928867.8,1928867.8,0,1928867.8,-54340,-2.74,-7.16
"2020-04-02",1934077.8,1928867.8,0,1928867.8,5210,0.27,-6.91
